bigram,frequency
british airways,75
business class,41
london heathrow,30
cabin crew,18
hour flight,13
customer service,12
premium economy,12
club class,11
long haul,10
flight attendants,8
fly ba,8
return flight,8
flight delayed,7
ground staff,7
club world,7
budget airline,7
class seat,6
class product,6
inflight entertainment,6
worst business,6
worst airline,6
upper deck,6
meal service,6
class passengers,6
bottle water,6
didnt work,6
food awful,6
seats uncomfortable,6
london british,6
poor food,5
awful experience,5
poor service,5
cabin staff,5
entire flight,5
flight late,5
flight crew,5
premium passengers,5
leg room,5
flight ba,5
poor quality,5
filthy dirty,4
airways business,4
heathrow british,4
flight entertainment,4
flight cancelled,4
looking forward,4
meal served,4
qatar airways,4
uncomfortable seats,4
world traveller,4
